,annualCashAndCashEquivalents,quarterlyTotalRevenue,trailingNetOtherFinancingCharges,quarterlyPurchaseOfInvestment,annualBasicEPS,quarterlyEbitda,annualNetOtherFinancingCharges,quarterlyOperatingIncome,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyDilutedAverageShares,quarterlyNetIncomeCommonStockholders,annualTaxProvision,quarterlyChangeInAccountPayable,annualCurrentDebt,trailingRepurchaseOfCapitalStock,quarterlyGrossProfit,annualCurrentAccruedExpenses,annualCapitalExpenditure,quarterlyTotalLiabilitiesNetMinorityInterest,annualNetIncomeContinuousOperations,trailingSellingGeneralAndAdministration,annualOperatingExpense,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,annualTotalRevenue,trailingOperatingExpense,annualDeferredIncomeTax,annualChangesInAccountReceivables,quarterlyGrossPPE,trailingCostOfRevenue,annualInterestExpense,trailingFreeCashFlow,trailingBeginningCashPosition,quarterlyIncomeTaxPayable,annualOtherShortTermInvestments,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,annualCommonStockIssuance,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,annualAccumulatedDepreciation,annualRepurchaseOfCapitalStock,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,trailingNetIncomeContinuousOperations,annualOtherNonCurrentAssets,annualCurrentAssets,quarterlyStockBasedCompensation,trailingNetOtherInvestingChanges,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,trailingNetIncomeCommonStockholders,quarterlyBasicEPS,annualNetIncomeCommonStockholders,quarterlyStockholdersEquity,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,trailingNetIncome,annualTotalAssets,annualTotalLiabilitiesNetMinorityInterest,annualNetIncome,quarterlyChangeInInventory,annualBeginningCashPosition,quarterlyLongTermDebt,annualRetainedEarnings,annualDilutedAverageShares,annualAccountsReceivable,annualDilutedEPS,annualCostOfRevenue,quarterlySellingGeneralAndAdministration,quarterlyNetIncome,annualLongTermDebt,quarterlyNetIncomeContinuousOperations,annualCashDividendsPaid,quarterlyRepaymentOfDebt,annualFreeCashFlow,trailingTaxProvision,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualSellingGeneralAndAdministration,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,annualOtherNonCashItems,annualOtherCurrentAssets,annualTotalNonCurrentAssets,quarterlyCurrentDebt,quarterlyCapitalExpenditure,annualDepreciationAndAmortization,quarterlyInterestExpense,trailingChangeInInventory,annualPurchaseOfBusiness,trailingDepreciationAndAmortization,annualStockholdersEquity,annualStockBasedCompensation,trailingStockBasedCompensation,annualChangeInInventory,annualCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,trailingOperatingCashFlow,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,annualOperatingCashFlow,annualCapitalStock,quarterlyOperatingExpense,quarterlyBasicAverageShares,quarterlyOperatingCashFlow,quarterlyPretaxIncome,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,quarterlyPurchaseOfBusiness,trailingCashDividendsPaid,annualSaleOfInvestment,annualNonCurrentDeferredTaxesLiabilities,annualInventory,quarterlyTaxProvision,quarterlyNetPPE,annualGrossProfit,annualCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,annualNetPPE,annualEbitda,quarterlyCommonStockIssuance,annualGrossPPE,annualNetOtherInvestingChanges,annualOtherNonCurrentLiabilities,annualOtherCurrentLiabilities,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,annualGoodwill,trailingPretaxIncome,quarterlyTotalAssets,trailingChangeInWorkingCapital,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,trailingGrossProfit,quarterlyFreeCashFlow,annualGainsLossesNotAffectingRetainedEarnings,annualPurchaseOfInvestment,trailingCapitalExpenditure,trailingDeferredIncomeTax,trailingOperatingIncome,trailingInvestingCashFlow,annualAccountsPayable,quarterlySaleOfInvestment,annualOperatingIncome,trailingTotalRevenue,annualInvestingCashFlow,trailingOtherIncomeExpense,quarterlyOtherIntangibleAssets,annualEndCashPosition,annualPretaxIncome,annualBasicAverageShares,trailingEndCashPosition,quarterlyDepreciationAndAmortization,annualIncomeTaxPayable,trailingCashFlowFromContinuingFinancingActivities,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,annualOtherIncomeExpense,trailingChangeInCashSupplementalAsReported,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDilutedEPS,quarterlyCashAndCashEquivalents,quarterlyInvestmentsAndAdvances,trailingChangeInAccountPayable,trailingOtherNonCashItems,quarterlyCurrentDeferredRevenue,trailingBasicAverageShares,quarterlyResearchAndDevelopment,annualNonCurrentDeferredRevenue,trailingPurchaseOfBusiness,annualInvestmentsAndAdvances,trailingResearchAndDevelopment,annualChangeInAccountPayable,trailingSaleOfInvestment,trailingDilutedEPS,trailingRepaymentOfDebt,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,annualResearchAndDevelopment,trailingDilutedAverageShares,trailingCommonStockIssuance,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,trailingInterestExpense,trailingBasicEPS
559958400,,114500000.0,,,,114500000.0,,114500000.0,,,51993000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,6400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51993000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,
567907200,,108300000.0,,,,108300000.0,,108300000.0,,,51556000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,4500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51556000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,
575769600,,109300000.0,,,,109300000.0,,109300000.0,,,45930000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,5000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45930000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,
583632000,4000000.0,121300000.0,,,0.43,-290900000.0,,-290900000.0,,,,,12800000.0,,40500000.0,,,,,152200000.0,21800000.0,,104900000.0,63300000.0,,453400000.0,,,,196000000.0,,7000000.0,,,,,168600000.0,,88900000.0,,,,-97700000.0,,90600000.0,,,19400000.0,168600000.0,,,,,,,21800000.0,134100000.0,,,,,,,286300000.0,152200000.0,21800000.0,,0.0,49500000.0,90600000.0,50697674.0,,0.43,307300000.0,,,49500000.0,5900000.0,,,0.0,,63300000.0,88400000.0,1500000.0,0.0,,1500000.0,117700000.0,40500000.0,,,,,,,134100000.0,,,,,,94500000.0,,,-97700000.0,,19400000.0,13800000.0,0.0,,,,,,,4000000.0,,,,13800000.0,94500000.0,,98300000.0,146100000.0,88900000.0,,48400000.0,98300000.0,57700000.0,,196000000.0,,0.0,48400000.0,,117700000.0,,,286300000.0,,,,,,,,,,,,,,41200000.0,,0.0,,,0.0,34600000.0,50697674.0,,,,,,,,600000.0,,,4000000.0,,4000000.0,,,,,,,,,,,,,,,,,,,,,,,
591580800,,119800000.0,,,,119800000.0,,119800000.0,,,49642000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,5400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49642000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,
599529600,,126400000.0,,,,126400000.0,,126400000.0,,,49231000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,4900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49231000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,
607305600,,117500000.0,,,,117500000.0,,117500000.0,,,49231000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,5400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49231000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,
615168000,3200000.0,128400000.0,,,0.45,-320900000.0,0.0,-320900000.0,,,,,13200000.0,,45600000.0,,,,-18300000.0,152100000.0,21900000.0,,111700000.0,59100000.0,,492200000.0,,100000.0,,206700000.0,,8800000.0,,,,,172400000.0,,93000000.0,,,,-109000000.0,-9900000.0,104000000.0,,,19600000.0,172400000.0,,,-6800000.0,,,,21900000.0,137600000.0,,,,,,,289700000.0,152100000.0,21900000.0,,4000000.0,45300000.0,104000000.0,48666667.0,,0.45,337600000.0,,,45300000.0,6200000.0,-8600000.0,,15400000.0,,59100000.0,93900000.0,1000000.0,-100000.0,200000.0,1000000.0,117300000.0,45600000.0,,17800000.0,,,,,137600000.0,,,-5000000.0,-17600000.0,,98900000.0,,,-109000000.0,,19600000.0,13900000.0,33700000.0,,,,,,,3200000.0,,,,13900000.0,98900000.0,,97700000.0,154600000.0,93000000.0,,47400000.0,97700000.0,60700000.0,,206700000.0,-1400000.0,-100000.0,47400000.0,,117300000.0,,,289700000.0,,,-900000.0,,,,,,,,,,,42900000.0,,-16900000.0,,,0.0,35100000.0,48666667.0,,,,,,,,900000.0,,,3200000.0,,3200000.0,,,,,,,,,,,,,,,,,,,,,,,
623116800,,127200000.0,,,,11400000.0,,11400000.0,-4000000.0,0.0,31052632.0,5900000.0,,,,,34500000.0,,,164600000.0,,,,,,,,,,206100000.0,,,,,,,189400000.0,-2100000.0,111500000.0,,,,,,111500000.0,-300000.0,,,,,,,,,0.19,,141500000.0,,-400000.0,,,92700000.0,,,,,,,39500000.0,,,,,,23100000.0,5900000.0,,5900000.0,,,,,53100000.0,,1400000.0,0.0,,,,56200000.0,-3600000.0,,2200000.0,,,,,,,,,300000.0,105000000.0,0.0,2700000.0,-109000000.0,,19600000.0,13600000.0,,,23100000.0,31052632.0,-1600000.0,9500000.0,,,,,,,,3600000.0,97100000.0,,,-2900000.0,55300000.0,,,300000.0,,,,,,116700000.0,,,306100000.0,,,,,-5200000.0,,,,,,,,,,,,,,,,,,,,,,,3200000.0,,,,200000.0,0.19,200000.0,,,,,,,,,,,,,,,,,,,,,,,
631065600,,134300000.0,,,,11100000.0,,11100000.0,-10700000.0,0.0,31764706.0,5400000.0,,,,,35900000.0,,,169300000.0,,,,,,,,,,208800000.0,,,,,,,188600000.0,-2300000.0,117500000.0,,,,,,117500000.0,-1400000.0,,,,,,,,,0.17,,143900000.0,,-1100000.0,,,98400000.0,,,,,,,38400000.0,,,,,,24800000.0,5400000.0,,5400000.0,,,,,51800000.0,,2900000.0,0.0,,,,55800000.0,-9700000.0,,2400000.0,,,,,,,,,200000.0,102400000.0,-900000.0,-1300000.0,-109000000.0,,24800000.0,13400000.0,,,24800000.0,31764706.0,17600000.0,8800000.0,,,,,,,,3400000.0,99800000.0,,,5700000.0,61700000.0,,,500000.0,,,,,,124600000.0,,,313200000.0,,,,,7900000.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,6000000.0,0.17,6000000.0,,,,,,,,,,,,,,,,,,,,,,,
638841600,,117300000.0,,,,14000000.0,,9200000.0,-5100000.0,0.0,32307692.0,4200000.0,,,,,38100000.0,,,167100000.0,,,,,,,,,,218200000.0,,,,,,,185900000.0,-2200000.0,90800000.0,,,,,,112800000.0,-2300000.0,,,,,,,,,0.13,,143900000.0,,0.0,,,79200000.0,,,,,,,63200000.0,,,,,,24100000.0,4200000.0,,4200000.0,,,,,76300000.0,,2200000.0,0.0,,,,39800000.0,-5100000.0,,2300000.0,,,,,,,,,100000.0,109500000.0,100000.0,-1200000.0,-118100000.0,,25000000.0,13100000.0,,,28900000.0,32307692.0,2200000.0,7000000.0,,,,,,,,2800000.0,100100000.0,,,-4300000.0,0.0,,,600000.0,,,,,,125100000.0,,,311000000.0,,,,,-2900000.0,,,,,,,,,,,,,,,,,,,,,51000000.0,,0.0,,,,1600000.0,0.13,1600000.0,,,,,,,,,,,,,,,,,,,,,,,
646704000,700000.0,126100000.0,,,0.34,16300000.0,-9100000.0,11800000.0,-5300000.0,0.0,,600000.0,11600000.0,,46000000.0,,42300000.0,,-23900000.0,179600000.0,16100000.0,,116800000.0,72800000.0,,504900000.0,,-3500000.0,,217000000.0,,9400000.0,,,,,182700000.0,-2200000.0,106800000.0,1500000.0,,14900000.0,-115600000.0,-8600000.0,111200000.0,-4600000.0,,24400000.0,182700000.0,,,3300000.0,,,,16100000.0,128900000.0,,100000.0,,,83800000.0,,308500000.0,179600000.0,16100000.0,0.0,3200000.0,60200000.0,111200000.0,31632653.0,,0.34,344700000.0,26000000.0,600000.0,60200000.0,600000.0,-8800000.0,,11000000.0,,72800000.0,98000000.0,3900000.0,0.0,,3900000.0,125800000.0,46000000.0,-5500000.0,18800000.0,2400000.0,,,,128900000.0,,,-9800000.0,-12300000.0,-7000000.0,109500000.0,-9200000.0,-12500000.0,-115600000.0,,24400000.0,12600000.0,34900000.0,,30500000.0,,16700000.0,2400000.0,,700000.0,,,,12600000.0,109500000.0,1800000.0,101400000.0,160200000.0,106800000.0,-1000000.0,27900000.0,101400000.0,62200000.0,100000.0,217000000.0,-1400000.0,0.0,27900000.0,,125800000.0,,,308500000.0,,,-2500000.0,,11200000.0,,,,,,,32900000.0,,43400000.0,,-25100000.0,,,0.0,27700000.0,31632653.0,,4500000.0,,,32900000.0,,0.0,-6400000.0,,,700000.0,,700000.0,,,,,,,,,,,,,,,,,,,,,,,
654652800,,128800000.0,,,,11300000.0,,11300000.0,-3400000.0,0.0,30555556.0,5500000.0,,,,,36000000.0,,,187400000.0,,,,,,,,,,215200000.0,,,,,,,195500000.0,-2200000.0,113200000.0,,,,,,113200000.0,-100000.0,,,,,,,,,0.18,,132300000.0,,-700000.0,,,92800000.0,,,,,,,59700000.0,,,,,,24700000.0,5500000.0,,5500000.0,,,,,74200000.0,,4900000.0,0.0,,,,52600000.0,-2700000.0,,2400000.0,,,,,,,,,0.0,106800000.0,100000.0,3800000.0,-115600000.0,,24600000.0,14500000.0,,,24700000.0,30555556.0,2900000.0,8900000.0,,,,,,,,3400000.0,99600000.0,,,3200000.0,60600000.0,,,,,,,,,124200000.0,,,319700000.0,,,,,200000.0,,,,,,,,,,,,,,,,,,,,,,,700000.0,,,,3900000.0,0.18,3900000.0,,,,,,,,,,,,,,,,,,,,,,,
662601600,,134200000.0,,,,11700000.0,,11700000.0,-3700000.0,0.0,31052632.0,5900000.0,,,,,40300000.0,,,163900000.0,,,,,,,,,,214700000.0,,,,,,,176000000.0,-2300000.0,91400000.0,,,,,,91400000.0,-400000.0,,,,,,,,,0.19,,135400000.0,,-100000.0,,,93900000.0,,,,,,,58400000.0,,,,,,28600000.0,5900000.0,,5900000.0,,,,,72500000.0,,4900000.0,0.0,,,,41500000.0,-3700000.0,,2500000.0,,,,,,,,,200000.0,96000000.0,0.0,-15100000.0,-115600000.0,,24200000.0,14100000.0,,,28600000.0,31052632.0,23700000.0,9400000.0,,,,,,,,3500000.0,99100000.0,,,4900000.0,49900000.0,,,,,,,,,123300000.0,,,299300000.0,,,,,20000000.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,8800000.0,0.19,8800000.0,,,,,,,,,,,,,,,,,,,,,,,
670377600,,110000000.0,,,,12400000.0,,7500000.0,-2800000.0,0.0,31818182.0,3500000.0,,,,,36600000.0,,,155700000.0,,,,,,,,,,225400000.0,,,,,,,170800000.0,-2300000.0,83800000.0,,,,,,119400000.0,-200000.0,,,,,,,,,0.11,,136300000.0,,100000.0,,,73400000.0,,,,,,,58100000.0,,,,,,24200000.0,3500000.0,,3500000.0,,,,,71900000.0,,4900000.0,-100000.0,,,,39400000.0,-2900000.0,,2000000.0,,,,,,,,,300000.0,96300000.0,-100000.0,-5000000.0,-127800000.0,,23600000.0,13900000.0,,,29100000.0,31818182.0,3800000.0,5900000.0,,,,,,,,2400000.0,97600000.0,,,-4000000.0,0.0,,,,,,,,,121200000.0,,,292000000.0,,,,,900000.0,,,,,,,,,,,,,,,,,,,,,44400000.0,,0.0,,,,4800000.0,0.11,4800000.0,,,,,,,,,,,,,,,,,,,,,,,
678240000,5300000.0,127500000.0,,,0.46,16700000.0,0.0,11500000.0,-5700000.0,0.0,,6300000.0,12600000.0,,29400000.0,,47700000.0,,-13500000.0,147600000.0,21200000.0,,128200000.0,72800000.0,,500500000.0,,900000.0,,225700000.0,,8700000.0,,,,,168400000.0,-2300000.0,74800000.0,1300000.0,-300000.0,5100000.0,-127600000.0,-2100000.0,122300000.0,-1400000.0,,20500000.0,168400000.0,,,4800000.0,,,,21200000.0,139400000.0,,-1600000.0,,,79800000.0,,287000000.0,147600000.0,21200000.0,1300000.0,700000.0,57200000.0,122300000.0,46086957.0,,0.46,330300000.0,31000000.0,6300000.0,57200000.0,6300000.0,-9100000.0,,36100000.0,,72800000.0,108400000.0,5300000.0,7900000.0,-100000.0,5300000.0,118600000.0,29400000.0,-4200000.0,19800000.0,1800000.0,,,,139400000.0,,,14600000.0,-29500000.0,0.0,95000000.0,0.0,-13200000.0,-127600000.0,,20500000.0,7700000.0,49600000.0,,36200000.0,,19200000.0,9600000.0,,5300000.0,,,,7700000.0,95000000.0,3300000.0,98100000.0,170200000.0,74800000.0,500000.0,21500000.0,98100000.0,61800000.0,,225700000.0,-2300000.0,7900000.0,21500000.0,,118600000.0,,,287000000.0,,,4600000.0,,15000000.0,,,,,,,23900000.0,,42000000.0,,-15600000.0,,,0.0,33800000.0,46086957.0,,5200000.0,,,23900000.0,,0.0,500000.0,,,5300000.0,,5300000.0,,,,,,,,,,,,,,,,,,,,,,,
686188800,,132400000.0,,,,18700000.0,,13600000.0,-3000000.0,0.0,30000000.0,7500000.0,,,,,45300000.0,,,157100000.0,,,,,,,,,,228600000.0,,,,,,,182800000.0,-2300000.0,85300000.0,,-500000.0,-4200000.0,,,127500000.0,-3600000.0,,,,,,,,,0.25,,142500000.0,,-100000.0,,,87100000.0,,,,,-100000.0,,56700000.0,,,,,,26600000.0,7500000.0,,7500000.0,,,,,71800000.0,,5900000.0,8000000.0,,,,29400000.0,-3100000.0,,1600000.0,,,,,,,,,200000.0,95100000.0,-100000.0,-5000000.0,-131900000.0,,20100000.0,7100000.0,,,31700000.0,30000000.0,7800000.0,12100000.0,,,,,,,,4600000.0,96700000.0,,,-200000.0,55900000.0,,,1400000.0,,,,,,116800000.0,,,299600000.0,,,,,4700000.0,,,,,,,,,,,,,,,,,,5100000.0,,,,,5300000.0,,,,5100000.0,0.25,5100000.0,,,,,,,,,,,,,,,,,,,,,,,
694137600,,146600000.0,,,,20400000.0,,15000000.0,-9500000.0,0.0,30000000.0,7800000.0,,,,,50100000.0,,,143300000.0,,,,,,,,,,235500000.0,,,,,,,170100000.0,-2500000.0,87500000.0,,-300000.0,15300000.0,,,132800000.0,-3200000.0,,,,,,,,,0.26,,145600000.0,,-200000.0,,,96500000.0,,,,,8300000.0,,41500000.0,,,,,,29800000.0,7800000.0,,7800000.0,,,,,55800000.0,,6500000.0,8000000.0,,,,35900000.0,-9400000.0,,1600000.0,,,,,,,,,-100000.0,88100000.0,0.0,-13300000.0,-136200000.0,,19500000.0,6300000.0,,,35100000.0,30000000.0,28200000.0,13300000.0,,,,,,,,5500000.0,99300000.0,,,5500000.0,51600000.0,,,1100000.0,,,,,,118800000.0,,,288900000.0,,,,,18800000.0,,,,,,,,,,,,,,,,,,5400000.0,,,,,0.0,,,,10600000.0,0.26,10600000.0,,,,,,,,,,,,,,,,,,,,,,,
702000000,,130900000.0,,,,17200000.0,,11800000.0,-4100000.0,0.0,30800000.0,6300000.0,,,,,44500000.0,,,137800000.0,,,,,100000.0,,,,,234600000.0,,,,,,,170500000.0,-2500000.0,82000000.0,,600000.0,-6300000.0,,,132800000.0,-200000.0,,,,,,,,,0.14,,150000000.0,,-200000.0,,,86400000.0,,,,,-1600000.0,,41200000.0,,,,,,27400000.0,6300000.0,,6300000.0,,,,,55800000.0,,5100000.0,8300000.0,,,,29900000.0,-4000000.0,,1300000.0,,,,,,,,,0.0,89600000.0,0.0,-8100000.0,-136200000.0,,18900000.0,6300000.0,,,32700000.0,30800000.0,6100000.0,10500000.0,,,,,,,,4200000.0,98400000.0,,,-6300000.0,52100000.0,,,900000.0,,,,,,117300000.0,,,287800000.0,,,,,2100000.0,,,,,,,,,,,,,,,,,,5400000.0,,,,,0.0,,,,4400000.0,0.14,4400000.0,,,,,,,,,,,,,,,,,,,,,,,
709862400,7400000.0,145900000.0,,,0.71,24500000.0,0.0,19200000.0,-5300000.0,0.0,,10700000.0,21500000.0,,15600000.0,,56200000.0,,-17000000.0,130600000.0,32400000.0,,136700000.0,55400000.0,,555800000.0,,-2000000.0,,239000000.0,,5600000.0,,,,,172200000.0,-2600000.0,75200000.0,3400000.0,-1800000.0,8700000.0,-139500000.0,-7000000.0,144900000.0,0.0,,18300000.0,172200000.0,,,13500000.0,,,,32400000.0,159400000.0,,100000.0,,,89700000.0,,290000000.0,130600000.0,32400000.0,-3100000.0,5300000.0,40000000.0,144900000.0,45633803.0,,0.71,359400000.0,31700000.0,10700000.0,40000000.0,10700000.0,-9900000.0,,50300000.0,,55400000.0,115500000.0,7300000.0,8500000.0,,7300000.0,117800000.0,15600000.0,-500000.0,21200000.0,1100000.0,,,,159400000.0,,,3500000.0,-43200000.0,-300000.0,92700000.0,100000.0,-16800000.0,-139500000.0,,18300000.0,6900000.0,67300000.0,,37000000.0,,25200000.0,17800000.0,,7400000.0,,,,6900000.0,92700000.0,7100000.0,99500000.0,196400000.0,75200000.0,3100000.0,33100000.0,99500000.0,80900000.0,0.0,239000000.0,-400000.0,8500000.0,33100000.0,,117800000.0,,,290000000.0,,,2100000.0,,24700000.0,,-5100000.0,,,,,26500000.0,,59700000.0,,-21900000.0,,,0.0,53900000.0,45633803.0,,5300000.0,,,26500000.0,,0.0,-200000.0,,,7400000.0,,7400000.0,,,,,,,,,,,,,,,,,,,,,,,
717811200,,152300000.0,,,,23600000.0,,18100000.0,-4900000.0,0.0,45652174.0,10500000.0,,,,,53100000.0,,,144700000.0,,,,,100000.0,,,,,243100000.0,,,,,,,194800000.0,-2600000.0,90500000.0,,,-14700000.0,,,152800000.0,,,,,,,,,,0.23,,167300000.0,,-600000.0,,,99200000.0,,,,,-5000000.0,,39200000.0,,,,,,29500000.0,10500000.0,,10500000.0,,,,,54200000.0,,8700000.0,8600000.0,,,,22300000.0,-4300000.0,,1000000.0,,,,,,,,,0.0,97700000.0,0.0,3400000.0,-144400000.0,,18500000.0,6400000.0,,,35000000.0,45652174.0,1000000.0,17100000.0,,,,,,,,6600000.0,98700000.0,,,-600000.0,68200000.0,,,,,,,,,117200000.0,,,312000000.0,,,,,-3300000.0,,,,,,,,,,,,,,,,,,5500000.0,,,,,7400000.0,,,,6800000.0,0.23,6800000.0,,,,,,,,,,,,,,,,,,,,,,,
725760000,,170800000.0,,,,26000000.0,,20600000.0,-5400000.0,0.0,44444444.0,12000000.0,,,,,61400000.0,,,121700000.0,,,,,-300000.0,,,,,246000000.0,,,,,,,181000000.0,-2900000.0,68600000.0,,,10300000.0,,,162000000.0,,,,,,,,,,0.27,,176500000.0,,0.0,,,109400000.0,,,,,9500000.0,,38700000.0,,,,,,35400000.0,12000000.0,,12000000.0,,,,,53100000.0,,9500000.0,8700000.0,,,,7700000.0,-5400000.0,,1000000.0,,,,,,,,,100000.0,88200000.0,200000.0,-17800000.0,-146700000.0,,17900000.0,5700000.0,,,40800000.0,44444444.0,26800000.0,19500000.0,,,,,,,,7500000.0,99300000.0,,,3700000.0,60900000.0,,,,,,,,,117200000.0,,,298200000.0,,,,,21400000.0,,,,,,,,,,,,,,,,,,5300000.0,,,,,0.0,,,,10500000.0,0.27,10500000.0,,,,,,,,,,,,,,,,,,,,,,,
733536000,,148800000.0,,,,21800000.0,,16400000.0,-4500000.0,0.0,45714286.0,9600000.0,,,,,50100000.0,,,115000000.0,,,,,,,,,,249800000.0,,,,,,,182200000.0,-2900000.0,65500000.0,,-100000.0,-700000.0,,,168700000.0,,,,,,,,,,0.21,,183400000.0,,-300000.0,,,98700000.0,,,,,-1100000.0,,35200000.0,,,,,,28300000.0,9600000.0,,9600000.0,,,,,49500000.0,,8500000.0,8900000.0,,,,5000000.0,-4200000.0,,900000.0,,,,,,,,,0.0,89300000.0,0.0,-9000000.0,-151300000.0,,17700000.0,5400000.0,,,33700000.0,45714286.0,14500000.0,15500000.0,,,,,,,,5900000.0,98500000.0,,,900000.0,0.0,,,200000.0,,,,,,116200000.0,,,298400000.0,,,,,10300000.0,,,,,,,,,,,,,,,,,,5400000.0,,,60500000.0,,0.0,,,,11400000.0,0.21,11400000.0,,,,,,,,,,,,,,,,,,,,,,,
741398400,16500000.0,158700000.0,,,1.01,28600000.0,0.0,23000000.0,-5100000.0,0.0,,14000000.0,28100000.0,,1800000.0,,60500000.0,,-18900000.0,110100000.0,46200000.0,,146900000.0,48600000.0,,630600000.0,,400000.0,,249800000.0,,3600000.0,,,,,188200000.0,-2900000.0,61500000.0,500000.0,1500000.0,-3700000.0,-151200000.0,-3900000.0,179800000.0,,,15300000.0,188200000.0,,,-8800000.0,,,,46200000.0,192000000.0,,-100000.0,,,98200000.0,,302100000.0,110100000.0,46200000.0,-5900000.0,7400000.0,34600000.0,179800000.0,45742574.0,,1.01,405700000.0,31900000.0,14000000.0,34600000.0,14000000.0,-11300000.0,,42800000.0,,48600000.0,125100000.0,8500000.0,8900000.0,100000.0,8500000.0,113900000.0,1800000.0,-5000000.0,21800000.0,700000.0,,,,192000000.0,,,-2500000.0,-32600000.0,-100000.0,95200000.0,0.0,-9200000.0,-151200000.0,,15300000.0,5100000.0,61700000.0,,37500000.0,,19400000.0,22200000.0,,16500000.0,,,,5100000.0,95200000.0,8200000.0,98600000.0,224900000.0,61500000.0,5100000.0,33400000.0,98600000.0,99800000.0,100000.0,249800000.0,-1000000.0,8900000.0,33400000.0,,113900000.0,,,302100000.0,,,9100000.0,,14400000.0,,,,,,,26300000.0,,78000000.0,,-19900000.0,,,0.0,74300000.0,45742574.0,,5600000.0,,,26300000.0,,0.0,-100000.0,,,16500000.0,,16500000.0,,,,,,,,,,,,,,,,,,,,,,,
